,class,42,40,6,24,14,4,10,22
131,1,52,66,60,70,71,73,70,80
132,1,72,68,69,73,69,71,60,69
133,1,55,54,67,44,58,56,56,61
134,1,67,61,67,66,69,70,66,73
135,1,55,59,60,65,64,75,67,75
136,1,60,39,64,60,64,35,28,74
137,1,51,46,44,58,66,72,56,69
138,1,53,61,64,53,70,66,67,64
139,1,9,59,36,61,51,60,56,48
140,1,65,58,66,58,62,62,55,66
141,1,78,22,49,71,72,67,32,72
142,1,67,66,58,70,74,72,62,70
143,1,68,69,56,77,67,74,63,77
144,1,42,48,59,73,61,75,56,74
145,1,75,76,71,69,69,74,67,82
146,1,44,48,66,68,59,44,56,77
147,1,74,43,71,73,66,71,39,64
148,1,38,74,43,61,63,82,63,78
149,1,71,69,63,76,74,72,66,76
150,1,78,66,74,68,64,62,66,77
151,1,66,70,71,64,67,54,52,64
152,1,63,66,56,66,62,69,61,72
153,1,70,71,63,63,62,51,58,63
154,1,50,65,60,68,68,67,68,78
155,1,67,72,66,75,73,79,68,79
156,1,78,67,70,74,71,71,58,78
157,1,8,31,53,49,70,34,51,66
158,1,30,39,34,43,31,40,37,65
159,1,31,53,45,54,50,60,61,69
160,1,64,65,65,69,64,69,59,68
161,1,65,69,67,46,62,76,64,45
162,1,58,65,69,62,70,79,64,65
163,1,61,66,77,72,69,75,69,80
164,1,42,66,69,47,55,70,56,73
165,1,69,73,69,68,74,64,68,69
166,1,65,71,70,69,71,74,69,81
167,1,45,49,56,45,68,76,58,79
168,1,70,61,65,69,75,68,50,67
169,1,71,59,64,75,74,69,53,66
170,1,62,65,61,62,66,59,63,72
171,1,62,66,67,73,61,74,71,63
172,0,75,65,69,65,71,70,72,74
173,0,72,75,72,58,61,66,66,75
174,0,75,62,70,72,74,74,68,70
175,0,73,72,66,58,65,78,63,74
176,0,77,73,70,85,75,71,63,71
177,0,71,66,79,73,73,70,77,80
178,0,63,64,73,67,71,78,66,76
179,0,68,73,76,61,65,66,54,56
180,0,72,76,69,70,68,66,62,61
181,0,69,71,73,75,75,74,55,75
182,0,65,68,74,63,73,70,67,74
183,0,73,68,59,67,72,66,66,81
184,0,75,75,67,73,74,77,65,74
185,0,76,78,66,76,74,74,67,72
186,0,64,72,64,78,74,71,67,81
187,1,74,62,66,74,77,67,52,66
188,1,71,73,82,79,74,67,63,78
189,1,41,55,64,47,65,64,69,74
190,1,68,73,63,74,75,78,59,66
191,1,55,64,58,70,71,66,68,77
192,1,70,77,74,71,69,75,61,70
193,1,73,68,71,69,80,75,70,67
194,1,67,58,72,60,71,62,68,62
195,1,70,79,67,78,69,68,56,76
196,1,56,67,61,57,57,79,64,70
197,1,61,76,60,60,70,62,69,74
198,1,73,61,70,73,76,77,67,70
199,1,70,65,67,76,75,73,70,78
200,1,69,68,60,67,79,66,67,65
201,1,67,62,69,62,71,74,67,71
202,1,65,60,56,59,62,65,56,69
203,1,36,44,46,54,58,66,52,57
204,1,68,67,62,68,78,72,53,67
205,1,71,67,75,63,65,57,59,74
206,1,71,71,74,75,72,77,61,75
207,1,70,69,58,72,67,55,48,74
208,1,70,72,67,70,74,62,61,78
209,1,68,70,60,71,59,62,57,84
210,1,67,30,89,72,59,58,30,52
211,1,46,54,50,73,48,51,55,59
212,1,60,67,58,68,75,68,71,76
213,1,44,61,68,65,73,79,66,68
214,1,42,67,71,66,73,72,64,80
215,1,75,59,72,78,72,74,57,67
216,1,83,52,59,67,48,67,67,75
217,1,73,65,71,66,66,75,60,60
218,1,35,43,63,55,57,62,49,78
219,1,33,74,62,48,65,63,71,71
220,1,37,58,67,50,64,72,73,78
221,1,67,65,75,68,68,72,74,80
222,1,61,60,68,72,58,74,75,78
223,1,64,71,69,71,71,68,67,82
224,1,30,72,59,53,53,74,48,79
225,1,57,64,73,72,71,78,71,74
226,1,48,67,64,69,71,68,72,73
227,0,69,71,58,73,71,70,66,77
228,0,76,77,70,74,74,70,70,73
229,0,65,75,59,79,66,67,65,73
230,0,68,73,75,68,72,77,66,75
231,0,73,76,76,69,73,77,68,67
232,0,65,70,72,68,77,80,64,82
233,0,68,68,69,68,62,76,69,81
234,0,68,71,69,65,72,68,75,79
235,0,74,75,66,81,74,74,64,76
236,0,73,76,74,68,64,74,78,78
237,0,67,74,70,81,70,69,66,78
238,0,70,75,72,73,75,78,65,72
239,0,65,69,62,73,71,75,74,80
240,0,70,74,68,69,75,76,64,74
241,0,61,72,70,68,73,76,67,73
242,0,69,76,73,75,73,69,65,76
243,0,76,67,67,75,74,78,68,80
244,0,66,67,68,67,70,75,77,77
245,0,77,77,71,77,65,72,63,78
246,0,68,72,68,75,72,78,59,68
247,0,72,77,70,68,80,69,70,79
248,0,62,77,68,74,72,84,57,71
249,0,68,72,67,62,77,76,75,72
250,0,69,71,74,71,70,60,67,78
251,0,79,79,70,70,71,70,62,78
252,0,79,72,76,76,75,68,62,66
253,0,70,74,65,74,76,71,66,78
254,0,71,72,71,76,73,72,56,76
255,0,70,72,69,74,68,78,71,80
256,0,75,66,70,80,74,72,56,76
257,0,74,64,68,69,65,67,64,75
258,0,66,77,72,76,68,78,69,78
259,0,67,80,63,76,74,70,57,73
260,0,63,72,66,75,69,74,69,81
261,0,75,78,70,79,75,80,56,77
262,0,67,71,71,72,74,72,67,77
263,0,63,68,68,72,71,71,62,75
264,0,80,75,77,64,67,75,62,75
265,0,56,75,74,60,67,72,66,77
266,0,68,69,69,73,70,66,62,72
